1.33,Albany
0.99,Atlanta
1.17,BaltimoreWashington
0.97,Boise
1.13,Boston
1.35,BuffaloRochester
0.9,California
0.96,Charlotte
0.93,Chicago
0.87,CincinnatiDayton
0.99,Columbus
0.8,DallasFtWorth
0.98,Denver
1.08,Detroit
1.13,GrandRapids
1.01,GreatLakes
1.16,HarrisburgScranton
1.27,HartfordSpringfield
0.78,Houston
1.04,Indianapolis
0.99,Jacksonville
0.83,LasVegas
0.8,LosAngeles
1.04,Louisville
0.99,MiamiFtLauderdale
1.05,Midsouth
0.96,Nashville
0.91,NewOrleansMobile
1.17,NewYork
1.2,Northeast
1.21,NorthernNewEngland
0.99,Orlando
1.25,Philadelphia
0.49,PhoenixTucson
1.25,Pittsburgh
1.1,Plains
1.01,Portland
0.96,RaleighGreensboro
0.98,RichmondNorfolk
0.96,Roanoke
0.98,Sacramento
0.92,SanDiego
1.05,SanFrancisco
1.09,Seattle
0.98,SouthCarolina
0.81,SouthCentral
0.98,Southeast
1.05,Spokane
1.1,StLouis
1.36,Syracuse
0.97,Tampa
0.95,TotalUS
0.83,West
0.71,WestTexNewMexico
