0.44,1
0.46,1
0.48,1
0.49,2
0.51,4
0.52,3
0.53,6
0.54,4
0.55,1
0.56,6
0.57,7
0.58,4
0.6,9
0.61,4
0.62,5
0.63,3
0.64,8
0.65,15
0.66,8
0.67,13
0.68,14
0.69,4
0.7,24
0.71,14
0.72,14
0.73,18
0.74,30
0.75,25
0.76,30
0.77,34
0.78,28
0.79,32
0.8,32
0.81,29
0.82,30
0.83,44
0.84,35
0.85,40
0.86,25
0.87,32
0.88,35
0.89,48
0.9,46
0.91,46
0.92,51
0.93,77
0.94,64
0.95,71
0.96,79
0.97,89
0.98,115
0.99,126
1.0,100
1.01,102
1.02,112
1.03,112
1.04,98
1.05,96
1.06,105
1.07,92
1.08,107
1.09,104
1.1,91
1.11,107
1.12,92
1.13,122
1.14,112
1.15,115
1.16,107
1.17,107
1.18,115
1.19,129
1.2,89
1.21,95
1.22,96
1.23,115
1.24,105
1.25,104
1.26,121
1.27,86
1.28,89
1.29,88
1.3,78
1.31,62
1.32,76
1.33,90
1.34,87
1.35,94
1.36,101
1.37,86
1.38,95
1.39,88
1.4,97
1.41,86
1.42,82
1.43,104
1.44,106
1.45,87
1.46,84
1.47,85
1.48,114
1.49,103
1.5,113
1.51,83
1.52,84
1.53,92
1.54,107
1.55,106
1.56,99
1.57,87
1.58,87
1.59,117
1.6,100
1.61,89
1.62,92
1.63,86
1.64,87
1.65,90
1.66,97
1.67,91
1.68,95
1.69,83
1.7,88
1.71,60
1.72,80
1.73,63
1.74,82
1.75,69
1.76,78
1.77,59
1.78,73
1.79,82
1.8,86
1.81,87
1.82,96
1.83,80
1.84,75
1.85,80
1.86,67
1.87,59
1.88,78
1.89,65
1.9,62
1.91,52
1.92,64
1.93,64
1.94,53
1.95,43
1.96,45
1.97,42
1.98,38
1.99,33
2.0,48
2.01,44
2.02,41
2.03,29
2.04,27
2.05,32
2.06,47
2.07,35
2.08,28
2.09,39
2.1,17
2.11,26
2.12,23
2.13,22
2.14,23
2.15,23
2.16,17
2.17,21
2.18,24
2.19,17
2.2,12
2.21,19
2.22,14
2.23,10
2.24,14
2.25,13
2.26,11
2.27,10
2.28,6
2.29,12
2.3,6
2.31,17
2.32,13
2.33,12
2.34,10
2.35,9
2.36,11
2.37,12
2.38,9
2.39,10
2.4,10
2.41,3
2.42,5
2.43,10
2.44,8
2.45,7
2.46,5
2.47,3
2.48,8
2.49,4
2.5,6
2.51,4
2.52,3
2.53,2
2.54,7
2.55,8
2.56,4
2.57,7
2.58,8
2.59,10
2.6,2
2.61,5
2.62,6
2.63,2
2.64,4
2.65,6
2.66,3
2.67,4
2.69,2
2.7,3
2.71,4
2.72,2
2.73,6
2.74,2
2.75,3
2.76,4
2.77,3
2.78,1
2.79,3
2.8,2
2.81,3
2.82,2
2.83,5
2.84,4
2.85,3
2.86,4
2.87,3
2.88,2
2.89,2
2.9,1
2.92,2
2.93,2
2.94,1
2.95,1
2.96,1
2.97,1
2.99,1
3.0,2
3.04,1
3.05,1
3.17,1
